Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.81341380704139,144.95387844355548
-37.814388710914066,144.9553796638721
-37.81373161102642,144.95643124351133
-37.81498319002912,144.95517966450862
-37.81381475776893,144.95574954699944
-37.81381475776893,144.95574954699944
-37.814942005145724,144.95582837181476
-37.81385586085206,144.95664684024624
-37.815021079701836,144.9562227352685
-37.816202679974346,144.9551588176044
-37.8172426314786,144.95448346520098
-37.81721697644114,144.95595324131287
-37.81681054765653,144.95758333813302
-37.816066219599705,144.9592551263205
-37.81718339237059,144.9586101263205
-37.818594699285605,144.9573832959363
-37.818594699285605,144.9573832959363
-37.818594699285605,144.9573832959363
-37.818594699285605,144.9573832959363
-37.81811068268034,144.9584704150309
-37.81811068268034,144.9584704150309
-37.81892959321945,144.95710751902277
-37.81892959321945,144.95710751902277
-37.81892959321945,144.95710751902277
-37.81892959321945,144.95710751902277
-37.81892959321945,144.95710751902277
-37.81892959321945,144.95710751902277
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81768901313276,144.958585984798
-37.81632946091012,144.95989888911816
-37.8158012656134,144.9612062183531
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.81494558178251,144.96200415643438
-37.814219101241626,144.96293400912364
-37.814219101241626,144.96293400912364
-37.814219101241626,144.96293400912364
-37.814219101241626,144.96293400912364
-37.814219101241626,144.96293400912364
-37.81474355047241,144.96163595172726
-37.81474355047241,144.96163595172726
-37.81474355047241,144.96163595172726
-37.815375152692056,144.9598016456906
-37.814463230641756,144.96085069200709
-37.814463230641756,144.96085069200709
-37.814463230641756,144.96085069200709
-37.81620166199021,144.96021795474192
-37.81523041963807,144.96073437346098
-37.81523041963807,144.96073437346098
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.81477561800097,144.9623204552593
-37.815019853515054,144.96106397246447
-37.81544634779739,144.95982534313043
-37.81720443304365,144.95954688978267
-37.81720443304365,144.95954688978267
-37.81720443304365,144.95954688978267
-37.81784875638432,144.95795213355282
-37.81660224422924,144.95938608175524
-37.81660224422924,144.95938608175524
-37.81557200442128,144.9601624231351
-37.81562957397315,144.96126091562334
-37.81562957397315,144.96126091562334
-37.81562957397315,144.96126091562334
-37.81562957397315,144.96126091562334
-37.81621139366555,144.95935786915896
-37.81621139366555,144.95935786915896
-37.815318684526325,144.9605004847517
-37.81609456105935,144.95943258231912
-37.8155397228569,144.96073969921102
-37.8155397228569,144.96073969921102
-37.81487122374282,144.96153638543186
-37.81487122374282,144.96153638543186
-37.81487122374282,144.96153638543186
-37.815575431087,144.96021196404257
-37.816637455469255,144.96034236424
-37.816637455469255,144.96034236424
-37.816637455469255,144.96034236424
-37.816637455469255,144.96034236424
-37.81547190767249,144.96044433645903
-37.814256255524185,144.9617031811096
-37.814977504440996,144.9609819321928
-37.814977504440996,144.9609819321928
